,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
236,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1978,2492.597
237,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1979,2760.42
238,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1980,3044.831
239,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1981,3306.402
240,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1982,3807.218
241,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1983,4314.524
242,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1984,4661.457
243,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1985,5019.114
244,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1986,5288.048
245,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1987,5726.839
246,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1988,5630.913
247,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1989,5861.209
248,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1990,5794.034
249,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1991,6081.822
250,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1992,6143.127
251,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1993,5803.354
252,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1994,5752.728
253,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1995,5943.797
254,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1996,5987.022
255,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1997,6409.884
256,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1998,6532.358
257,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1999,6384.068
258,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2000,6637.128
259,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2001,6791.993
260,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2002,7040.827
261,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2003,7136.619
262,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2004,7219.251
263,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2005,7288.109
264,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2006,7274.203
265,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2007,7612.556
266,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2008,8163.048
267,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2009,8191.722
268,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2010,8776.306
269,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2011,8902.797
270,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2012,9047.289
271,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2013,9345.504
272,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2014,9914.65
273,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2015,10723.953
274,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2016,11000.873
275,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2017,11544.682
276,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2018,11649.271
277,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2019,12141.026
278,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2020,12284.186
279,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,2021,12395.666
280,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1966,0.0
281,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1967,0.0
282,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1968,0.0
283,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1969,0.0
284,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1970,0.0
285,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1971,0.0
286,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1972,0.0
287,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1973,0.0
288,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1974,0.0
289,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1975,0.0
290,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1976,0.0
291,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1977,0.0
292,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1978,0.0
293,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1979,0.0
